Rank of % em relação a população geral;MUNICÍPIO;PRIMEIRA DOSE;POPULAÇÃO MUNICÍPIO 2020;% em relação a população geral
570;PARAISO;5435;6009.0;0,9045
571;IPUA;14020;15513.0;0,9038
572;ITARARE;42918;47491.0;0,9037
573;VISTA ALEGRE DO ALTO;7496;8305.0;0,9026
574;LUIZIANIA;4699;5206.0;0,9026
575;SAO VICENTE;323515;358742.0;0,9018
576;RIO DAS PEDRAS;29387;32597.0;0,9015
577;DOIS CORREGOS;23278;25821.0;0,9015
578;JANDIRA;110499;122688.0;0,9007
579;MARIAPOLIS;3310;3681.0;0,8992
580;VARZEA PAULISTA;106061;117958.0;0,8991
581;ELDORADO;12974;14463.0;0,897
582;CAIEIRAS;89482;99809.0;0,8965
583;IRACEMAPOLIS;20609;23015.0;0,8955
584;ITAPECERICA DA SERRA;154473;172516.0;0,8954
585;SAO MANUEL;34524;38582.0;0,8948
586;CANAS;4223;4720.0;0,8947
587;CACHOEIRA PAULISTA;28295;31626.0;0,8947
588;PALESTINA;10656;11920.0;0,894
589;LINDOIA;6623;7412.0;0,8936
590;TABATINGA;13892;15550.0;0,8934
591;SANTA BARBARA D'OESTE;168028;188277.0;0,8925
592;PIRAJUI;21136;23704.0;0,8917
593;MARABA PAULISTA;4878;5471.0;0,8916
594;AURIFLAMA;12261;13774.0;0,8902
595;POTIM;21310;23942.0;0,8901
596;BIRIGUI;107917;121355.0;0,8893
597;MURUTINGA DO SUL;3659;4120.0;0,8881
598;CAPIVARI;47542;53530.0;0,8881
599;GUZOLANDIA;4282;4822.0;0,888
600;MONTE APRAZIVEL;21006;23662.0;0,8878
601;SANTA LUCIA;7102;8004.0;0,8873
602;ITAPURA;3882;4377.0;0,8869
603;SEVERINIA;14313;16180.0;0,8846
604;IGARAPAVA;24888;28150.0;0,8841
605;PRESIDENTE EPITACIO;36695;41597.0;0,8822
606;IPEUNA;6191;7034.0;0,8802
607;MAIRIPORA;87073;98967.0;0,8798
608;IPERO;31655;36007.0;0,8791
609;SAO JOSE DA BELA VISTA;7166;8155.0;0,8787
610;TERRA ROXA;7502;8590.0;0,8733
611;AVANHANDAVA;11022;12625.0;0,873
612;ITARIRI;14031;16095.0;0,8718
613;PITANGUEIRAS;32636;37515.0;0,8699
614;BALBINOS;4794;5535.0;0,8661
615;SANTA GERTRUDES;22300;25767.0;0,8654
616;NOVA EUROPA;8996;10429.0;0,8626
617;MORRO AGUDO;26696;30998.0;0,8612
618;IBIRAREMA;6154;7149.0;0,8608
619;VOTORANTIM;102756;119384.0;0,8607
620;PINDORAMA;13545;15853.0;0,8544
621;BARIRI;28410;33273.0;0,8538
622;GUAREI;15005;17578.0;0,8536
623;LUIS ANTONIO;12188;14289.0;0,853
624;CLEMENTINA;6707;7879.0;0,8513
625;PROMISSAO;32837;38598.0;0,8507
626;ORLANDIA;35693;42081.0;0,8482
627;CUBATAO;107189;126704.0;0,846
628;AMERICO BRASILIENSE;32972;39019.0;0,845
629;SANTA CRUZ DAS PALMEIRAS;27466;32666.0;0,8408
630;ARIRANHA;7409;8871.0;0,8352
631;JAU;123188;147698.0;0,8341
632;PRADOPOLIS;16949;20329.0;0,8337
633;MAUA;388758;469093.0;0,8287
634;FLORIDA PAULISTA;11209;13582.0;0,8253
635;FERRAZ DE VASCONCELOS;157151;191117.0;0,8223
636;SANTOPOLIS DO AGUAPEI;3574;4350.0;0,8216
637;RIO GRANDE DA SERRA;40586;49693.0;0,8167
638;PRACINHA;3028;3840.0;0,7885
639;NOVA LUZITANIA;2886;3686.0;0,783
640;GASTAO VIDIGAL;3359;4323.0;0,777
641;NOVAIS;4176;5425.0;0,7698
642;PONTAL;37537;49039.0;0,7655
643;COSMOPOLIS;53461;70341.0;0,76
644;QUELUZ;9409;12517.0;0,7517
645;PALMARES PAULISTA;8913;12335.0;0,7226
646;FORCA DA SEGURANCA;133042;;
